url,swat_number,date
https://www.wokewindows.org/swats/10-43-100478397-sept3rd,10-43-100478397-sept3rd,2010-09-03
https://www.wokewindows.org/swats/2010-43-100456107-aug22,2010-43-100456107-aug22,2010-08-22
https://www.wokewindows.org/swats/10-43-100433193-aug10th,10-43-100433193-aug10th,2010-08-10
https://www.wokewindows.org/swats/10-41-100410593,10-41-100410593,2010-07-30
https://www.wokewindows.org/swats/10-40-100400818-jul25,10-40-100400818-jul25,2010-07-25
https://www.wokewindows.org/swats/10-39-100392980-jul21,10-39-100392980-jul21,2010-07-21
https://www.wokewindows.org/swats/10-38-100391420,10-38-100391420,2010-07-20
https://www.wokewindows.org/swats/10-37-100376360-july12,10-37-100376360-july12,2010-07-12
https://www.wokewindows.org/swats/10-27-100296007jun02,10-27-100296007jun02,2010-07-08
https://www.wokewindows.org/swats/2010-36-100351099-june29,2010-36-100351099-june29,2010-06-29
https://www.wokewindows.org/swats/10-35-100343444-jun25,10-35-100343444-jun25,2010-06-25
https://www.wokewindows.org/swats/100326056,100326056,2010-06-15
https://www.wokewindows.org/swats/2010-32-100313867-june10,2010-32-100313867-june10,2010-06-10
https://www.wokewindows.org/swats/2010-30-100312155-june09,2010-30-100312155-june09,2010-06-09
https://www.wokewindows.org/swats/2010-28-100301109-june07,2010-28-100301109-june07,2010-06-07
https://www.wokewindows.org/swats/2010-26-100295362-june01,2010-26-100295362-june01,2010-06-01
https://www.wokewindows.org/swats/10-25-100286121,10-25-100286121,2010-05-28
https://www.wokewindows.org/swats/10-24-100281047may25,10-24-100281047may25,2010-05-25
https://www.wokewindows.org/swats/10-23-100280081may25,10-23-100280081may25,2010-05-25
https://www.wokewindows.org/swats/2010-22-100269184-may20,2010-22-100269184-may20,2010-05-20
https://www.wokewindows.org/swats/10-21-xxxxxxxxx-may16,10-21-xxxxxxxxx-may16,2010-05-16
https://www.wokewindows.org/swats/2010-20-100244597-may07,2010-20-100244597-may07,2010-05-07
https://www.wokewindows.org/swats/10-19-100216540,10-19-100216540,2010-04-24
https://www.wokewindows.org/swats/10-17-xxxx-mar26th,10-17-xxxx-mar26th,2010-03-26
https://www.wokewindows.org/swats/10-16-100136308,10-16-100136308,2010-03-15
https://www.wokewindows.org/swats/10-14-100110856mar04,10-14-100110856mar04,2010-03-04
https://www.wokewindows.org/swats/13-06-100113242,13-06-100113242,2010-03-03
https://www.wokewindows.org/swats/2010-15-100117193-march05,2010-15-100117193-march05,2010-03-02
https://www.wokewindows.org/swats/10-12-100090856feb19,10-12-100090856feb19,2010-02-19
https://www.wokewindows.org/swats/10-11-100088960-feb18,10-11-100088960-feb18,2010-02-18
https://www.wokewindows.org/swats/10-10-100050545-jan28,10-10-100050545-jan28,2010-01-28
https://www.wokewindows.org/swats/10-09-xxxx-jan25,10-09-xxxx-jan25,2010-01-25
https://www.wokewindows.org/swats/10-08-100035245-jan20,10-08-100035245-jan20,2010-01-20
https://www.wokewindows.org/swats/100020377,100020377,2010-01-12
https://www.wokewindows.org/swats/10-04-100018365jan11,10-04-100018365jan11,2010-01-11
https://www.wokewindows.org/swats/10-03-100014345-jan08,10-03-100014345-jan08,2010-01-08
https://www.wokewindows.org/swats/10-02-100009639-jan06,10-02-100009639-jan06,2010-01-06
https://www.wokewindows.org/swats/10-01-100000799-jan01,10-01-100000799-jan01,2010-01-01
