"allegation","frequency","percentage"
"Uniform Specifications",3,0.03
"Transmitting Information",3,0.03
"Patrol Officer Assigned to DMV",3,0.03
"Securing Motor Vehicle",3,0.03
"Protective Custody",3,0.03
"Untruthfulness in Department Reports (2 counts)",3,0.03
"Failure to notify supervisor when leaving assigned post",3,0.03
"Training & Qualifications",3,0.03
"Alcohol In Police Facility (2 counts)",3,0.03
"Canon Seven",3,0.03
"Use of Service Baton",3,0.03
"Safeguarding & Destruction of Drugs",3,0.03
"Canon Four",3,0.03
"Warning Shots and Signals",2,0.02
"Handling Evidence/Property Coming into Custody",2,0.02
"Alcohol On Duty (3 counts)",2,0.02
"Change of Address Notification Violation",2,0.02
"Handcuffing a Suspect",2,0.02
"Directives/Orders (4 counts)",2,0.02
"Traffic Enforcement",2,0.02
"Courts- Failure to appear when summoned (4 counts)",2,0.02
"Harassment Policy - Retaliation",2,0.02
"Acceptance of Details (9 counts)",2,0.02
"Radio Procedures",2,0.02
"Failure to Properly Respond",2,0.02
"Use of Force (3 counts)",2,0.02
"Prisoner - Sickness or Injury",2,0.02
"Pursuing Wrong Direction",2,0.02
"Violation Inside/Abutting a License",2,0.02
"Canon Six",2,0.02
"Notifying Operations",2,0.02
"Reporting Firearms",2,0.02
"Canon Two",2,0.02
"Situation Warranting Completion of FIOE Report",2,0.02
"Prisoners - Authorized Visitors",2,0.02
"Security of Criminal Offender Record Information",2,0.02
"Conduct Unbecoming(7 counts)",2,0.02
"Area Commanders",2,0.02
"Personal Vehicles",2,0.02
"Conduct Unbecoming(6 counts)",2,0.02
"Domestic Violence",2,0.02
"Public Integrity Policy",2,0.02
"Conformance to Laws(4 counts)",2,0.02
"Exercise of Due Caution",2,0.02
"Neglect of Duty/Unreasonable Judgment (4 counts)",2,0.02
"Safe Custody of Prisoners",2,0.02
"Guarding Prisoner",2,0.02
"Uniform & Equipment - Shoes",2,0.02
"Canon One",2,0.02
"Logging Drug Evidence",2,0.02
"Handling & Disposition of Seized Money",2,0.02
"Voluntary Transportation",2,0.02
"Arrest Procedure",2,0.02
"Criminal Offender Record Information Access",2,0.02
"Reporting to Detail",2,0.02
"Expected Police Actions",2,0.02
"Directives/Orders (5 counts)",2,0.02
"Vehicle Surveillance Procedures",2,0.02
"Canon Ten",2,0.02
"Mutual Protection",2,0.02
"Courts- Failure to appear when summoned",2,0.02
"Failure to Supervise",2,0.02
"Soliciting on Duty",2,0.02
"Offensive Language - Racial",2,0.02
"Off-duty drug possession/use/manufacture/distribution/sale",2,0.02
"Vehicle or Field Stops",2,0.02
"Take Home Vehicle Policy (Authorized Process)",1,0.01
"Under the Influence",1,0.01
"unreasonable Judgment",1,0.01
"Accountability (6 counts)",1,0.01
"Acceptance of Details (8 counts)",1,0.01
"Department Reports - Inaccurate Reporting (8 counts)",1,0.01
"Pointing Firearms (2 counts)",1,0.01
"Sick Leave Allowance",1,0.01
"Completion of FIOE Report",1,0.01
"Required Equipment",1,0.01
"Public Integrity Policy (2 counts)",1,0.01
"Harassment Policy - Confidentiality",1,0.01
"Harassment Policy (3 counts)",1,0.01
"Department E-mail & Computer Use",1,0.01
"Hostile Work Environment  (6 counts)",1,0.01
"Authorized Details (3 counts)",1,0.01
"Neglect of Duty/Unreasonable Judgment (21 counts)",1,0.01
"Alcohol Off-duty (5 counts)",1,0.01
"Informant Recruitment Procedures",1,0.01
"Residency (3 counts)",1,0.01
"Exchange of Badge Prohibited",1,0.01
"Request for Interviews",1,0.01
"Security of Criminal Offender Record Information (9 counts)",1,0.01
"Detail Assignment (34 counts)",1,0.01
"Handling of Accident Victims & Emergency Cases",1,0.01
"Harassment Policy - Discrimination (9 counts)",1,0.01
"Neglect of Duty/Unreasonable Judgment-Improper Search",1,0.01
"Courts(8 Counts)",1,0.01
"Paid Detail Assignment (89 counts)",1,0.01
"Authorized Details (46 counts)",1,0.01
"Courts(9 Counts)",1,0.01
"Hostile Work Environment (9 counts)",1,0.01
"Harassment Policy - Retaliation (9 counts)",1,0.01
"Global E-mail Policy",1,0.01
"Statement of Opinion (6 counts)",1,0.01
"Acceptance of Details ( 5 counts)",1,0.01
"Prisoners - Transportation",1,0.01
"Paid Detail Assignment (98 counts)",1,0.01
"Untruthfulness (35 counts)",1,0.01
"Telephone Report Taking Procedure",1,0.01
"Weather & Environmental Conditions",1,0.01
"Respectful Treatment(31 counts)",1,0.01
"Prisoners - Cell Inspection",1,0.01
"Injury to Suspects",1,0.01
"Authorized Details (14 Counts)",1,0.01
"Acceptance of Details (24 counts)",1,0.01
"Conformance to Laws(3 Counts)",1,0.01
"Releasing confidential information",1,0.01
"Drinking Alcohol In Uniform",1,0.01
"Two-way Radio & MDT Procedure",1,0.01
"Hostile Work Environment (6 counts)",1,0.01
"Acceptance of Details (6 counts)",1,0.01
"Body Worn Camera Policy - Notice of Recording",1,0.01
"Motor Vehicle Accidents Involving Department Vehicles/Sworn Personnel",1,0.01
"Unreasonable Judgment (2 counts)",1,0.01
"Conformance to Laws(11 Counts)",1,0.01
"Canon Eight",1,0.01
"Controlled Substances (12 counts)",1,0.01
"Conformance to Laws(6 counts)",1,0.01
"Courts- Failure to appear when summoned (3 counts)",1,0.01
"Duty of Cooperate",1,0.01
"Directives/Orders (3 counts)",1,0.01
"Sexual Harassment (2 counts)",1,0.01
"Acceptance of Details (2 counts)",1,0.01
"Abuse of Process ",1,0.01
"Examination of Prisoner",1,0.01
"Paid Detail Assignment (23 counts)",1,0.01
"Detective Sergeant responisble for paraphernalia stored w/in Drug Storage Safe",1,0.01
"Untruthfulness in Department Reports (4 counts)",1,0.01
"Court Attendance",1,0.01
"Prisoners - Food Services",1,0.01
"Responsibility of Involved Employee",1,0.01
"Conduct Unbecoming(5 counts)",1,0.01
"Use of Alcohol Off-duty",1,0.01
"Failure to submit reports in timely manner",1,0.01
"Filing False Police Report",1,0.01
"Paid Detail Assignment (18 counts)",1,0.01
"Improper Supervision",1,0.01
"Paid Detail Assignment (44 counts)",1,0.01
"Paid Details - Use of Department Equipment",1,0.01
"Conduct Unbecoming(4 counts)",1,0.01
"Non-response Radio Procedure",1,0.01
"Detail Cards (27 counts)",1,0.01
"Release of Property in Police Custody",1,0.01
"Alcohol Off-duty (2 counts)",1,0.01
"Association with Criminals ",1,0.01
"Neglect of Duty/Unreasonable Judgment ",1,0.01
"Paid Detail Assignment (17 counts)",1,0.01
"Association with Criminals (2 counts)",1,0.01
"Towed Motor Vehicles",1,0.01
"Leather/Nylon Equipment (3 counts)",1,0.01
"Conduct Unbecoming(9 counts)",1,0.01
"Class Uniform Schedule",1,0.01
"Municipal Election",1,0.01
"Examination By Physicians",1,0.01
"Untruthfulness (7 counts)",1,0.01
"Criminal Justice Information Services Access (4 counts)",1,0.01
"Neglect of Duty/Unreasonable Judgment (17 Counts)",1,0.01
"Rendering Aid",1,0.01
"Conflict Of Interest",1,0.01
"Police Officer Assigned to DMV",1,0.01
"Use of Non-Lethal Force",1,0.01
"Reporting for Duty (3 Counts)",1,0.01
"Uniform & Equipment - Trousers",1,0.01
"Uniform & Equipment - When & the uniform will be worn & who wears it",1,0.01
"Detail Cards (68 counts)",1,0.01
"Paid Detail Assignment (131 counts)",1,0.01
"Paid Detail Assignment (4 counts)",1,0.01
"Quid pro quo",1,0.01
"Acceptance of Details (10 counts)",1,0.01
"Harassment Policy - Retaliation (2 counts)",1,0.01
"Untruthfulness (28 counts)",1,0.01
"Neglect of Duty/Unreasonable Judgment (3 counts Judgment)",1,0.01
"Sick Leave Allowance (2 counts)",1,0.01
"Prolonged Absences",1,0.01
"Acceptance of Details (12 counts)",1,0.01
"Failure to Notify Operations",1,0.01
"Rape Shield Consideration in Official Police Reports",1,0.01
"Criminal Justice Information Services Access (12 counts)",1,0.01
"Statement of Opinion",1,0.01
"Paid Detail Assignment (28 counts)",1,0.01
"Ballistic Procedures",1,0.01
"Field Unit Procedures",1,0.01
"Courts (3 counts)",1,0.01
"Refusal to Submit to Drug Test",1,0.01
"Drug Test (2 counts)",1,0.01
"Conformance to Laws(7 counts)",1,0.01
"Request for Interviews (6 counts)",1,0.01
"Paid Detail Assignment (16 counts)",1,0.01
"Uniforms And Equipment (2 counts)",1,0.01
"Depository Security Procedures",1,0.01
"Critical Incident Management",1,0.01
"Detail Cards (34 counts)",1,0.01
"Authorized Details (16 counts)",1,0.01
"Criminal Offender Record Information Procedures",1,0.01
"Self-identification (2 counts)",1,0.01
"Paid Detail Assignment (20 counts)",1,0.01
"Accountability (14 Counts)",1,0.01
"Paid Detail Assignment (41 counts)",1,0.01
"Units Arrival on Scene",1,0.01
"Authorized Details (17 counts)",1,0.01
"Detail Cards (80 counts)",1,0.01
"Paid Detail Assignment (21 counts)",1,0.01
"Untruthfulness (20 counts)",1,0.01
"Paid Detail Assignment (71 counts)",1,0.01
"Abuse of Discretion (9 counts)",1,0.01
"Employment/Conflict of Interest",1,0.01
"Harassment Policy - Retaliation (3 counts)",1,0.01
"Neglect of Duty/Unreasonable Judgment (1 count Neglect)",1,0.01
"Detail Assignment (27 Counts)",1,0.01
"Paid Detail Assignment (8 counts)",1,0.01
"Conformance to Laws(5 counts)",1,0.01
"Abuse of Process (2 counts)",1,0.01
"Suspicion of a Crime",1,0.01
"Searching Suspect after Handcuffing",1,0.01
"Knowingly entering inaccurate, false or improper information (3 Counts)",1,0.01
"Reporting Law Violations (2 counts)",1,0.01
"Respectful Treatment(2 COUNTS)",1,0.01
"Failure to be Properly Equipped",1,0.01
"Drug Forfeiture Procedures",1,0.01
"Hostile Work Environment (4 counts)",1,0.01
"Falsification of Evidence",1,0.01
