url,incident_number,links,occurred_on_date,district,district_name,shooting,location_of_occurrence,street,nature_of_incident,officer_journal_name,offenses,incident_clearance,number_of_arrestees,number_of_victims,number_of_offenders
https://www.wokewindows.org/incidents/212004385,212004385,false,2021-01-20 23:48:00,,,,667 MASSACHUSETTS AVE,,M/V ACCIDENT - PROPERTY DAMAGE,148317  SEAN DOOLAN,"",,,,
https://www.wokewindows.org/incidents/212004381,212004381,false,2021-01-20 23:14:00,,,,256 MARGINAL ST,,M/V - LEAVING SCENE - PROPERTY DAMAGE,153098  JACQUES NOEL,"",,,,
https://www.wokewindows.org/incidents/212004401,212004401,false,2021-01-20 23:00:00,,,,34 FULLER ST,,LARCENY THEFT FROM MV - NON-ACCESSORY,011364  JAMES TRAN,"",,,,
https://www.wokewindows.org/incidents/212004377,212004377,false,2021-01-20 22:57:00,,,,25 BARRY ST,,SICK ASSIST,093941  DANIEL ISBERG,"",,,,
https://www.wokewindows.org/incidents/212004375,212004375,false,2021-01-20 22:53:00,,,,90 WAREHAM ST,,VANDALISM,153077  BRIAN MULVEY,"",,,,
https://www.wokewindows.org/incidents/212004382,212004382,false,2021-01-20 22:45:00,,,,40 VALLAR RD,,VERBAL DISPUTE,087035  MICHAEL DORAN,"",,,,
https://www.wokewindows.org/incidents/212004371,212004371,false,2021-01-20 21:26:00,,,,500 GENEVA AVE,,ROBBERY,,"",,,,
https://www.wokewindows.org/incidents/212004368,212004368,false,2021-01-20 21:13:00,,,,144 FAWNDALE RD,,VANDALISM,,"",,,,
https://www.wokewindows.org/incidents/212004374,212004374,false,2021-01-20 21:07:00,,,,69 MCGREEVEY WAY,,HARASSMENT/ CRIMINAL HARASSMENT,010446  VINCENT STEPHENS,"",,,,
https://www.wokewindows.org/incidents/212004367,212004367,false,2021-01-20 21:01:00,,,,"",,M/V - LEAVING SCENE - PROPERTY DAMAGE,144336  RYAN JAMES FULLAM,"",,,,
https://www.wokewindows.org/incidents/212004369,212004369,false,2021-01-20 21:00:00,,,,76 CRESCENT AVE,,ASSAULT - SIMPLE,,"",,,,
https://www.wokewindows.org/incidents/212004372,212004372,false,2021-01-20 20:51:00,,,,85 SOUTHAMPTON ST,,ROBBERY,011641  CARL SHORTER,"",,,,
https://www.wokewindows.org/incidents/212004363,212004363,false,2021-01-20 20:31:00,,,,41 DALE ST,,SICK ASSIST,153148  KYLE RYAN,"",,,,
https://www.wokewindows.org/incidents/212004365,212004365,false,2021-01-20 20:06:00,,,,112 SOUTHAMPTON ST,,SICK/INJURED/MEDICAL - POLICE,,"",,,,
https://www.wokewindows.org/incidents/212004353,212004353,false,2021-01-20 19:59:00,,,,20 CUSHING AVE,,SICK ASSIST - DRUG RELATED ILLNESS,135974  CEDRIC LOPES,"",,,,
https://www.wokewindows.org/incidents/212004354,212004354,false,2021-01-20 19:56:00,,,,661 PARKER ST,,VERBAL DISPUTE,144495  CHRISTOPHER HEGERICH,"",,,,
https://www.wokewindows.org/incidents/212004352,212004352,false,2021-01-20 19:40:00,,,,884 CUMMINS HWY,,SICK ASSIST,131284  BYRON FOOTE,"",,,,
https://www.wokewindows.org/incidents/212004357,212004357,false,2021-01-20 19:39:00,,,,74 DEDHAM ST,,BURGLARY - RESIDENTIAL,099801  GREGORY MCPHERSON,"",,,,
https://www.wokewindows.org/incidents/212004361,212004361,false,2021-01-20 19:24:00,,,,29 GRETTER RD,,M/V - LEAVING SCENE - PROPERTY DAMAGE,011675  LYNDON CHRISTIAN,"",,,,
https://www.wokewindows.org/incidents/212004355,212004355,false,2021-01-20 19:16:00,,,,161 HARVARD ST,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,140282  CHRISTOPHER ADAMS,"",,,,
https://www.wokewindows.org/incidents/212004360,212004360,false,2021-01-20 19:00:00,,,,399 BOYLSTON ST,,LARCENY THEFT FROM BUILDING,144336  RYAN JAMES FULLAM,"",,,,
https://www.wokewindows.org/incidents/212004349,212004349,false,2021-01-20 19:00:00,,,,"",,TOWED MOTOR VEHICLE,128208  NAWEED HASSAN,"",,,,
https://www.wokewindows.org/incidents/212004411,212004411,false,2021-01-20 19:00:00,,,,19 BELLFLOWER ST,,BREAKING AND ENTERING (B&E) MOTOR VEHICLE (NO PROPERTY STOLEN),148254  JENNIFER DE LOS SANTOS,"",,,,
https://www.wokewindows.org/incidents/212004366,212004366,false,2021-01-20 18:38:00,,,,112 SOUTHAMPTON ST,,ASSAULT - SIMPLE,,"",,,,
https://www.wokewindows.org/incidents/212004335,212004335,false,2021-01-20 18:36:00,,,,"",,LARCENY THEFT FROM MV - NON-ACCESSORY,,"",,,,
https://www.wokewindows.org/incidents/212004345,212004345,false,2021-01-20 18:35:00,,,,"",,INVESTIGATE PERSON,099801  GREGORY MCPHERSON,"",,,,
https://www.wokewindows.org/incidents/212004343,212004343,false,2021-01-20 18:31:00,,,,49 DUBOIS ST,,LARCENY THEFT FROM BUILDING,,"",,,,
https://www.wokewindows.org/incidents/212004333,212004333,false,2021-01-20 18:26:00,,,,2 HUDSON ST,,LIQUOR/ALCOHOL - DRINKING IN PUBLIC,148321   ZI ZOU,"",,,,
https://www.wokewindows.org/incidents/212004337,212004337,false,2021-01-20 18:17:00,,,,852 BLUE HILL AVE,,INVESTIGATE PERSON,148289  SEAN P. O'BRIEN,"",,,,
https://www.wokewindows.org/incidents/212004332,212004332,false,2021-01-20 18:05:00,,,,62 ELM HILL AVE,,VANDALISM,153072  MAX MCGUIRE,"",,,,
https://www.wokewindows.org/incidents/212004336,212004336,false,2021-01-20 18:00:00,,,,33 NEWBURG ST,,SUDDEN DEATH,096684  ISMAEL SOSA,"",,,,
https://www.wokewindows.org/incidents/212004328,212004328,false,2021-01-20 17:43:00,,,,1 CENTRAL SQ,,INVESTIGATE PERSON,010059  RAYMOND D'OYLEY,"",,,,
https://www.wokewindows.org/incidents/212004342,212004342,false,2021-01-20 17:40:00,,,,144 DUDLEY ST,,ASSAULT - AGGRAVATED,140311  DENNIS LEAHY,"",,,,
https://www.wokewindows.org/incidents/212004327,212004327,false,2021-01-20 17:38:00,,,,21 AUSTIN ST,,VANDALISM,140298  BRIAN GARNEY,"",,,,
https://www.wokewindows.org/incidents/212004324,212004324,false,2021-01-20 17:34:00,,,,361 NEWBURY ST,,LARCENY SHOPLIFTING,,"",,,,
https://www.wokewindows.org/incidents/212004334,212004334,false,2021-01-20 17:30:00,,,,137 PARK DR,,FRAUD - IMPERSONATION,,"",,,,
https://www.wokewindows.org/incidents/212004318,212004318,false,2021-01-20 17:13:00,,,,1524 DORCHESTER AVE,,ASSAULT - AGGRAVATED,148288  HENA LOPES,"",,,,
https://www.wokewindows.org/incidents/212004323,212004323,false,2021-01-20 17:06:00,,,,"",,M/V ACCIDENT - PROPERTY DAMAGE,,"",,,,
https://www.wokewindows.org/incidents/212004320,212004320,false,2021-01-20 16:55:00,,,,243 BELLEVUE ST,,INVESTIGATE PERSON,098647  JAMES ROWLEY,"",,,,
https://www.wokewindows.org/incidents/212004322,212004322,false,2021-01-20 16:35:00,,,,57 BROADLAWN PARK,,INVESTIGATE PERSON,102290  BRIAN MICHAUD,"",,,,
https://www.wokewindows.org/incidents/212004316,212004316,false,2021-01-20 16:22:00,,,,36 ROBINSON ST,,VANDALISM,121746  ALEX MISIASZEK,"",,,,
https://www.wokewindows.org/incidents/212004314,212004314,false,2021-01-20 16:20:00,,,,45 HOMES AVE,,SICK ASSIST,100417  THOMAS FLYNN,"",,,,
https://www.wokewindows.org/incidents/212004325,212004325,false,2021-01-20 16:20:00,,,,89 BRIGHTON AVE,,M/V - LEAVING SCENE - PROPERTY DAMAGE,133888  KATRINA MAMMOLI,"",,,,
https://www.wokewindows.org/incidents/212004308,212004308,false,2021-01-20 16:16:00,,,,50 MERIDIAN ST,,INVESTIGATE PERSON,148271  JOHN HOULIHAN,"",,,,
https://www.wokewindows.org/incidents/212004330,212004330,false,2021-01-20 16:09:00,,,,45 CENTRE ST,,THREATS TO DO BODILY HARM,111716  BRENDON BUCCELLI,"",,,,
https://www.wokewindows.org/incidents/212004399,212004399,false,2021-01-20 16:00:00,,,,616 TREMONT ST,,MISSING PERSON,108882  JOE MARTINEZ,"",,,,
https://www.wokewindows.org/incidents/212004311,212004311,false,2021-01-20 15:42:00,,,,9 BRONSDON ST,,HARASSMENT/ CRIMINAL HARASSMENT,153151  MATTHEW GAFFEY,"",,,,
https://www.wokewindows.org/incidents/212004306,212004306,false,2021-01-20 15:29:00,,,,"",,M/V - LEAVING SCENE - PROPERTY DAMAGE,156394  JUAN CRESPO-FLOREZ,"",,,,
https://www.wokewindows.org/incidents/212004303,212004303,false,2021-01-20 15:26:00,,,,670 AMERICAN LEGION HWY,,THREATS TO DO BODILY HARM,011200  PATRICK CREAVIN,"",,,,
https://www.wokewindows.org/incidents/212004294,212004294,false,2021-01-20 15:25:00,,,,258 CHESTNUT AVE,,FRAUD - FALSE PRETENSE / SCHEME,138643  JOCELYN MONTOYA,"",,,,
https://www.wokewindows.org/incidents/212004296,212004296,false,2021-01-20 15:21:00,,,,71 MAYWOOD ST,,ASSAULT - AGGRAVATED,144456  ROBERT LEMIRE,"",,,,
https://www.wokewindows.org/incidents/212004290,212004290,false,2021-01-20 15:09:00,,,,102 INTERVALE ST,,INVESTIGATE PROPERTY,117001  RAYMOND SOTO,"",,,,
https://www.wokewindows.org/incidents/212004293,212004293,false,2021-01-20 15:01:00,,,,10 THORN ST,,INVESTIGATE PERSON,116889  JIMMY NGUYEN,"",,,,
https://www.wokewindows.org/incidents/212004298,212004298,false,2021-01-20 15:01:00,,,,81 ESSEX ST,,ROBBERY,135924  STEVEN LIZARDO,"",,,,
https://www.wokewindows.org/incidents/212004297,212004297,false,2021-01-20 15:01:00,,,,133 BROOKLINE AVE,,HARASSMENT/ CRIMINAL HARASSMENT,,"",,,,
https://www.wokewindows.org/incidents/212004288,212004288,false,2021-01-20 14:42:00,,,,265 MERIDIAN ST,,SICK/INJURED/MEDICAL - PERSON,106311  DOMINIC DIMARZO,"",,,,
https://www.wokewindows.org/incidents/212004295,212004295,false,2021-01-20 14:29:00,,,,5 BELLE AVE,,BURGLARY - RESIDENTIAL,102290  BRIAN MICHAUD,"",,,,
https://www.wokewindows.org/incidents/212004285,212004285,false,2021-01-20 14:17:00,,,,39 ARCHDALE RD,,BURGLARY - RESIDENTIAL,,"",,,,
https://www.wokewindows.org/incidents/212004278,212004278,false,2021-01-20 14:05:00,,,,89 E CANTON ST,,INVESTIGATE PERSON,,"",,,,
https://www.wokewindows.org/incidents/212004279,212004279,false,2021-01-20 14:00:00,,,,89 WELLES AVE,,FRAUD - IMPERSONATION,,"",,,,
https://www.wokewindows.org/incidents/212004277,212004277,false,2021-01-20 13:50:00,,,,45 FRANCIS ST,,ASSAULT - SIMPLE,103757  DAVID GODIN,"",,,,
https://www.wokewindows.org/incidents/212004268,212004268,false,2021-01-20 13:30:00,,,,980 AMERICAN LEGION HWY,,LARCENY SHOPLIFTING,135955  JAMES GIGLIELLO,"",,,,
https://www.wokewindows.org/incidents/212004261,212004261,false,2021-01-20 13:24:00,,,,266 BEACON ST,,PROPERTY - LOST/ MISSING,153100  JOHN FLAHERTY,"",,,,
https://www.wokewindows.org/incidents/212004266,212004266,false,2021-01-20 13:24:00,,,,177 W NINTH ST,,VERBAL DISPUTE,,"",,,,
https://www.wokewindows.org/incidents/212004270,212004270,false,2021-01-20 13:22:00,,,,411 D ST,,SICK ASSIST,,"",,,,
https://www.wokewindows.org/incidents/212004262,212004262,false,2021-01-20 13:12:00,,,,115 WARREN ST,,M/V ACCIDENT - PERSONAL INJURY,,"",,,,
https://www.wokewindows.org/incidents/212004254,212004254,false,2021-01-20 13:08:00,,,,721 RIVER ST,,AUTO THEFT,,"",,,,
https://www.wokewindows.org/incidents/212004259,212004259,false,2021-01-20 13:08:00,,,,8 BOWER ST,,THREATS TO DO BODILY HARM,,"",,,,
https://www.wokewindows.org/incidents/212004267,212004267,false,2021-01-20 13:00:00,,,,31 CORBET ST,,M/V ACCIDENT - PROPERTY DAMAGE,,"",,,,
https://www.wokewindows.org/incidents/212004273,212004273,false,2021-01-20 12:47:00,,,,267 WEST ST,,MISSING PERSON,012128  FRANK LEE,"",,,,
https://www.wokewindows.org/incidents/212004257,212004257,false,2021-01-20 12:41:00,,,,56 LEONARD ST,,SICK ASSIST,,"",,,,
https://www.wokewindows.org/incidents/212004260,212004260,false,2021-01-20 12:35:00,,,,1010 HARRISON AVE,,M/V ACCIDENT - PROPERTY DAMAGE,,"",,,,
https://www.wokewindows.org/incidents/212004313,212004313,false,2021-01-20 12:33:00,,,,32 DISTRICT AVE,,LARCENY SHOPLIFTING,103514  JOSE AMADO,"",,,,
https://www.wokewindows.org/incidents/212004251,212004251,false,2021-01-20 12:32:00,,,,"",,M/V ACCIDENT - PROPERTY DAMAGE,,"",,,,
https://www.wokewindows.org/incidents/212004252,212004252,false,2021-01-20 12:15:00,,,,416 WARREN ST,,ASSAULT - SIMPLE,,"",,,,
https://www.wokewindows.org/incidents/212004240,212004240,false,2021-01-20 11:40:00,,,,8 ALLSTATE RD,,ASSAULT - SIMPLE,,"",,,,
https://www.wokewindows.org/incidents/212004245,212004245,false,2021-01-20 11:39:00,,,,74 FENWAY,,VANDALISM,,"",,,,
https://www.wokewindows.org/incidents/212004244,212004244,false,2021-01-20 11:35:00,,,,136 ROSSETER ST,,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),011059  ANDRELL JONES,"",,,,
https://www.wokewindows.org/incidents/212004269,212004269,false,2021-01-20 11:35:00,,,,56 N MARGIN ST,,TOWED MOTOR VEHICLE,135897  KAMISHA GREEN,"",,,,
https://www.wokewindows.org/incidents/212004242,212004242,false,2021-01-20 11:33:00,,,,285 TREMONT ST,,SUDDEN DEATH,,"",,,,
https://www.wokewindows.org/incidents/212004238,212004238,false,2021-01-20 11:25:00,,,,109 BRAINERD RD,,M/V - LEAVING SCENE - PROPERTY DAMAGE,,"",,,,
https://www.wokewindows.org/incidents/212004283,212004283,false,2021-01-20 11:22:00,,,,124 CAPEN ST,,FRAUD - FALSE PRETENSE / SCHEME,144424  MICHAEL MAHONEY,"",,,,
https://www.wokewindows.org/incidents/212004239,212004239,false,2021-01-20 11:15:00,,,,"",,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,148320  VLADIMIR VILVALEX,"",,,,
https://www.wokewindows.org/incidents/210028149,210028149,false,2021-01-20 11:06:00,,,,20 RIDGECREST TER,,INVESTIGATE PERSON,098647  JAMES ROWLEY,"",,,,
https://www.wokewindows.org/incidents/212004246,212004246,false,2021-01-20 11:04:00,,,,57 BURTON ST,,SICK/INJURED/MEDICAL - PERSON,153151  MATTHEW GAFFEY,"",,,,
https://www.wokewindows.org/incidents/212004235,212004235,false,2021-01-20 11:03:00,,,,1280 WASHINGTON ST,,SICK/INJURED/MEDICAL - PERSON,148283  TYLER MATHEWSON,"",,,,
https://www.wokewindows.org/incidents/212004234,212004234,false,2021-01-20 11:01:00,,,,11 WIGET ST,,INVESTIGATE PERSON,,"",,,,
https://www.wokewindows.org/incidents/212004384,212004384,false,2021-01-20 11:00:00,,,,1 AVERY ST,,PROPERTY - LOST/ MISSING,011352  PAULA PEARSON,"",,,,
https://www.wokewindows.org/incidents/212004229,212004229,false,2021-01-20 10:51:00,,,,286 CENTRE ST,,PROPERTY - LOST/ MISSING,012119  ANGEL FIGUEROA,"",,,,
https://www.wokewindows.org/incidents/212004231,212004231,false,2021-01-20 10:46:00,,,,223 NEPONSET VALLEY PKWY,,SICK ASSIST,011200  PATRICK CREAVIN,"",,,,
https://www.wokewindows.org/incidents/212004258,212004258,false,2021-01-20 10:45:00,,,,82 GREEN ST,,OTHER OFFENSE,140292  ARTHUR DEPINHO,"",,,,
https://www.wokewindows.org/incidents/212004301,212004301,false,2021-01-20 10:44:00,,,,66 BIRCHCROFT RD,,FRAUD - FALSE PRETENSE / SCHEME,,"",,,,
https://www.wokewindows.org/incidents/212004247,212004247,false,2021-01-20 10:35:00,,,,"",,SICK ASSIST,131269  BRIAN HURLD,"",,,,
https://www.wokewindows.org/incidents/212004225,212004225,false,2021-01-20 10:32:00,,,,162 QUINCY ST,,INVESTIGATE PERSON,138643  JOCELYN MONTOYA,"",,,,
https://www.wokewindows.org/incidents/212004228,212004228,false,2021-01-20 10:30:00,,,,13 FALKLAND ST,,SICK ASSIST,107421  KEVIN BERNAZZANI,"",,,,
https://www.wokewindows.org/incidents/212004291,212004291,false,2021-01-20 10:00:00,,,,91 W COTTAGE ST,,LARCENY THEFT FROM BUILDING,153120  KEVIN O'LEARY,"",,,,
https://www.wokewindows.org/incidents/212004227,212004227,false,2021-01-20 09:53:00,,,,38 SUDAN ST,,SICK ASSIST,,"",,,,
https://www.wokewindows.org/incidents/212004236,212004236,false,2021-01-20 09:46:00,,,,20 PARK PLZ,,TOWED MOTOR VEHICLE,135924  STEVEN LIZARDO,"",,,,
https://www.wokewindows.org/incidents/212004220,212004220,false,2021-01-20 09:40:00,,,,30 FREMONT ST,,DEATH INVESTIGATION,148289  SEAN P. O'BRIEN,"",,,,
https://www.wokewindows.org/incidents/212004217,212004217,false,2021-01-20 09:27:00,,,,5 CHESTERTON ST,,LARCENY THEFT FROM MV - NON-ACCESSORY,,"",,,,
https://www.wokewindows.org/incidents/212004212,212004212,false,2021-01-20 09:17:00,,,,40 BOURNESIDE ST,,TOWED MOTOR VEHICLE,011059  ANDRELL JONES,"",,,,
https://www.wokewindows.org/incidents/212004214,212004214,false,2021-01-20 09:08:00,,,,"",,SICK/INJURED/MEDICAL - PERSON,"153146  JORDAN, M. WELLS","",,,,
https://www.wokewindows.org/incidents/212004222,212004222,false,2021-01-20 09:05:00,,,,99 BROOKS ST,,TOWED MOTOR VEHICLE,,"",,,,
https://www.wokewindows.org/incidents/212004207,212004207,false,2021-01-20 09:03:00,,,,114 FAWNDALE RD,,FRAUD - CREDIT CARD / ATM FRAUD,144424  MICHAEL MAHONEY,"",,,,
https://www.wokewindows.org/incidents/212004211,212004211,false,2021-01-20 09:02:00,,,,231 MASSACHUSETTS AVE,,LARCENY SHOPLIFTING,,"",,,,
https://www.wokewindows.org/incidents/212004208,212004208,false,2021-01-20 08:45:00,,,,41 FERMOY HEIGHTS AVE,,SICK ASSIST,,"",,,,
https://www.wokewindows.org/incidents/212004205,212004205,false,2021-01-20 08:21:00,,,,1970 COMMONWEALTH AVE,,SICK/INJURED/MEDICAL - PERSON,010941  KEVIN PECKHAM,"",,,,
https://www.wokewindows.org/incidents/212004215,212004215,false,2021-01-20 07:59:00,,,,11 CREIGHTON ST,,MISSING PERSON - LOCATED,153145  TASHA HIBBERT,"",,,,
https://www.wokewindows.org/incidents/212004213,212004213,false,2021-01-20 07:53:00,,,,200 NORTH ST,,TOWED MOTOR VEHICLE,075655  GARVIN MCHALE,"",,,,
https://www.wokewindows.org/incidents/212004203,212004203,false,2021-01-20 07:50:00,,,,640 BOYLSTON ST,,FORGERY / COUNTERFEITING; LARCENY ALL OTHERS,153100  JOHN FLAHERTY,"",,,,
https://www.wokewindows.org/incidents/212004202,212004202,false,2021-01-20 07:44:00,,,,200 OLD COLONY AVE,,BURGLARY - COMMERICAL,102668  STEPHEN O'CONNELL,"",,,,
https://www.wokewindows.org/incidents/212004201,212004201,false,2021-01-20 07:42:00,,,,107 SAINT BOTOLPH ST,,INVESTIGATE PERSON,148283  TYLER MATHEWSON,"",,,,
https://www.wokewindows.org/incidents/212004200,212004200,false,2021-01-20 07:10:00,,,,71 WOODCLIFF ST,,SICK ASSIST,153121  RYAN O'LEARY,"",,,,
https://www.wokewindows.org/incidents/212004198,212004198,false,2021-01-20 06:03:00,,,,74 ELMIRA ST,,TOWED MOTOR VEHICLE,120901  DAVID MACIOCE,"",,,,
https://www.wokewindows.org/incidents/212004274,212004274,false,2021-01-20 06:00:00,,,,548 MAIN ST,,FRAUD - CREDIT CARD / ATM FRAUD,011696  WILLIAM HENRY,"",,,,
https://www.wokewindows.org/incidents/212004284,212004284,false,2021-01-20 05:50:00,,,,230 COMMONWEALTH AVE,,BREAKING AND ENTERING (B&E) MOTOR VEHICLE (NO PROPERTY STOLEN),153152  ANTHONY DOWLING,"",,,,
https://www.wokewindows.org/incidents/212004370,212004370,false,2021-01-20 05:00:00,,,,800 WILLIAM T MORRISSEY BLVD,,M/V - LEAVING SCENE - PROPERTY DAMAGE,111716  BRENDON BUCCELLI,"",,,,
https://www.wokewindows.org/incidents/212004196,212004196,false,2021-01-20 04:57:00,,,,"",,FIRE REPORT,097246  MICHAEL FORBES,"",,,,
https://www.wokewindows.org/incidents/212004199,212004199,false,2021-01-20 04:31:00,,,,"",,M/V - LEAVING SCENE - PROPERTY DAMAGE,009710  EVON BURKE,"",,,,
https://www.wokewindows.org/incidents/212004187,212004187,false,2021-01-20 00:32:00,,,,191 GREEN ST,,SICK ASSIST,108899  MARK POTTER,"",,,,
https://www.wokewindows.org/incidents/212004191,212004191,false,2021-01-20 00:00:00,,,,163 W NINTH ST,,TOWED MOTOR VEHICLE,148246  JOANNE BYRNE,"",,,,
https://www.wokewindows.org/incidents/212004380,212004380,false,2021-01-20 00:00:00,,,,10 NEW ST,,M/V - LEAVING SCENE - PROPERTY DAMAGE,010148  JOSEPH GRECO,"",,,,
https://www.wokewindows.org/incidents/212004204,212004204,false,2021-01-20 00:00:00,,,,775 SUMMER ST,,LARCENY THEFT OF MV PARTS & ACCESSORIES,121606  PATRICK WELCH,"",,,,
https://www.wokewindows.org/incidents/212004315,212004315,false,2021-01-20 00:00:00,,,,28 ASPINWALL RD,,VIOLATION - HARASSMENT PREVENTION ORDER,144333  MICHAEL WALSH,"",,,,
